Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000019,E12000005,3,Quit,27
2018/19,E06000019,E12000005,3,Quit CO,19
2018/19,E06000019,E12000005,3,Set quit date,58
2018/19,E06000019,E12000005,4,Not known,14
2018/19,E06000019,E12000005,4,Not quit,10
2018/19,E06000019,E12000005,4,Quit,27
2018/19,E06000019,E12000005,4,Quit CO,22
2018/19,E06000019,E12000005,4,Set quit date,51
2018/19,E06000020,E12000005,1,Not known,83
2018/19,E06000020,E12000005,1,Not quit,73
2018/19,E06000020,E12000005,1,Quit,124
2018/19,E06000020,E12000005,1,Quit CO,99
2018/19,E06000020,E12000005,1,Set quit date,280
2018/19,E06000020,E12000005,2,Not known,54
2018/19,E06000020,E12000005,2,Not quit,65
2018/19,E06000020,E12000005,2,Quit,146
2018/19,E06000020,E12000005,2,Quit CO,115
2018/19,E06000020,E12000005,2,Set quit date,265
2018/19,E06000020,E12000005,3,Not known,81
2018/19,E06000020,E12000005,3,Not quit,64
2018/19,E06000020,E12000005,3,Quit,116
2018/19,E06000020,E12000005,3,Quit CO,79
2018/19,E06000020,E12000005,3,Set quit date,261
2018/19,E06000020,E12000005,4,Not known,105
2018/19,E06000020,E12000005,4,Not quit,61
2018/19,E06000020,E12000005,4,Quit,153
2018/19,E06000020,E12000005,4,Quit CO,112
2018/19,E06000020,E12000005,4,Set quit date,319
2018/19,E06000021,E12000005,1,Not known,90
2018/19,E06000021,E12000005,1,Not quit,73
2018/19,E06000021,E12000005,1,Quit,335
2018/19,E06000021,E12000005,1,Quit CO,310
2018/19,E06000021,E12000005,1,Set quit date,498
2018/19,E06000021,E12000005,2,Not known,76
2018/19,E06000021,E12000005,2,Not quit,86
2018/19,E06000021,E12000005,2,Quit,358
2018/19,E06000021,E12000005,2,Quit CO,331
2018/19,E06000021,E12000005,2,Set quit date,520
2018/19,E06000021,E12000005,3,Not known,50
2018/19,E06000021,E12000005,3,Not quit,30
2018/19,E06000021,E12000005,3,Quit,333
2018/19,E06000021,E12000005,3,Quit CO,284
2018/19,E06000021,E12000005,3,Set quit date,413
2018/19,E06000021,E12000005,4,Not known,126
2018/19,E06000021,E12000005,4,Not quit,20
2018/19,E06000021,E12000005,4,Quit,492
2018/19,E06000021,E12000005,4,Quit CO,439
2018/19,E06000021,E12000005,4,Set quit date,638
2018/19,E06000022,E12000009,1,Not known,22
2018/19,E06000022,E12000009,1,Not quit,33
2018/19,E06000022,E12000009,1,Quit,96
2018/19,E06000022,E12000009,1,Quit CO,63
2018/19,E06000022,E12000009,1,Set quit date,151
2018/19,E06000022,E12000009,2,Not known,17
2018/19,E06000022,E12000009,2,Not quit,33
2018/19,E06000022,E12000009,2,Quit,94
2018/19,E06000022,E12000009,2,Quit CO,62
2018/19,E06000022,E12000009,2,Set quit date,144
2018/19,E06000022,E12000009,3,Not known,10
2018/19,E06000022,E12000009,3,Not quit,28
2018/19,E06000022,E12000009,3,Quit,75
2018/19,E06000022,E12000009,3,Quit CO,62
2018/19,E06000022,E12000009,3,Set quit date,113
2018/19,E06000022,E12000009,4,Not known,9
2018/19,E06000022,E12000009,4,Not quit,24
2018/19,E06000022,E12000009,4,Quit,102
2018/19,E06000022,E12000009,4,Quit CO,78
2018/19,E06000022,E12000009,4,Set quit date,135
2018/19,E06000023,E12000009,1,Not known,161
2018/19,E06000023,E12000009,1,Not quit,136
2018/19,E06000023,E12000009,1,Quit,165
2018/19,E06000023,E12000009,1,Quit CO,129
2018/19,E06000023,E12000009,1,Set quit date,462
2018/19,E06000024,E12000009,1,Not known,116
2018/19,E06000024,E12000009,1,Not quit,45
2018/19,E06000024,E12000009,1,Quit,166
2018/19,E06000024,E12000009,1,Quit CO,140
2018/19,E06000024,E12000009,1,Set quit date,327
2018/19,E06000024,E12000009,2,Not known,137
